time_ms,X,Y,Z
6330,0.15,9.85,0.63
6382,0.06,9.89,0.54
6434,0.1,9.81,0.46
6487,0.11,9.84,0.55
6539,0.04,9.82,0.49
6591,0.1,9.79,0.68
6643,-0.06,9.81,0.55
6696,-0.13,9.75,0.69
6749,-0.2,9.86,0.49
6801,-0.01,10.2,0.77
6853,-0.19,9.52,0.51
6905,-0.32,10.45,0.56
6958,-0.3,10.12,0.59
7010,-0.35,9.69,0.63
7063,-0.31,9.17,0.6
7115,-0.35,9.69,0.53
7168,-0.32,9.23,0.59
7220,-0.17,11.05,0.61
7272,-0.31,9.7,0.5
7324,-0.44,10.15,0.54
7376,-0.35,9.34,0.59
7430,-0.5,10.56,0.54
7482,-0.51,10.76,0.64
7534,-0.3,10.61,0.37
7586,-0.8,10.92,0.73
7639,0.04,9.34,0.41
7691,-0.57,10.83,0.68
7743,0.05,9.01,0.35
7796,0.37,8.23,0.32
7848,-0.21,10.12,0.74
7901,-0.13,9.73,0.55
7953,-0.54,10.02,0.72
8005,-0.38,10.65,0.84
8057,-0.05,9.42,0.34
8110,-0.2,9.87,0.29
8163,-0.44,9.88,0.79
8215,0.06,10.03,0.61
8267,-0.15,10.43,0.75
8320,0.04,10.12,0.74
8372,-0.4,10.54,0.1
8424,-0.11,10.57,0.57
8477,0.16,9.84,0.57
8529,-0.01,9.75,1.03
8582,0.03,9.57,1.08
8634,-0.03,10.08,0.63
8686,-0.51,10.62,0.95
8738,-0.04,10.14,0.91
8791,-0.23,9.64,0.56
8843,-0.07,8.79,0.18
8896,-0.12,10.03,0.5
8948,0.01,9.75,0.63
9000,0.12,10.6,0.68
9053,0.0,9.58,0.74
9105,0.2,9.54,0.28
9157,-0.61,9.2,0.3
9209,0.06,9.46,0.45
9263,0.0,10.12,0.61
9315,-0.11,11.06,0.8
9367,0.02,10.19,0.53
9419,0.21,9.96,0.48
9472,0.16,9.26,0.4
9524,0.18,9.77,0.38
9576,0.35,9.41,0.31
9628,-0.03,10.11,0.48
9681,-0.18,10.51,0.66
9734,0.07,9.64,0.34
9786,-0.15,9.36,0.21
9838,0.04,9.86,0.31
9890,0.06,9.93,0.38
9943,0.04,9.88,0.36
9995,0.03,9.54,0.39
10047,-0.09,9.69,0.57
10100,0.11,9.65,0.55
10152,-0.02,9.92,0.37
10205,0.15,9.67,0.45
10257,0.08,9.82,0.5
10309,0.25,9.94,0.68
10361,0.01,10.07,0.66
10415,0.16,9.87,0.43
10467,0.08,9.86,0.58
10519,0.11,9.46,0.5
10571,0.4,9.22,0.46
10624,0.05,9.63,0.48
10676,0.28,9.99,0.7
10729,0.09,9.75,0.6
10781,0.23,9.62,0.31
10833,0.0,9.87,0.21
10886,0.11,9.83,0.74
10938,0.08,9.8,0.93
10990,0.24,9.82,0.65
11043,0.2,9.84,0.72
11096,-0.29,9.82,0.61
11148,-0.01,9.79,0.78
11200,0.65,10.08,0.24
11252,-0.43,10.0,0.65
11304,-0.15,9.74,0.78
11358,0.34,10.05,0.55
11410,0.31,9.8,0.42
11462,-0.04,9.86,0.4
11514,-0.35,9.69,0.57
11567,0.17,9.39,0.5
11619,0.33,9.62,0.72
11672,0.52,9.97,0.84
11724,0.1,9.57,0.44
11777,0.35,9.23,0.43
11829,-0.17,9.89,1.01
11881,-0.13,9.11,0.44
11933,-0.23,9.86,-0.14
11986,-0.29,10.58,0.82
12039,0.23,9.56,0.63
12091,0.12,10.33,0.98
12143,-0.18,9.61,-0.38
12195,0.32,9.64,0.47
12249,-0.76,9.75,0.8
12301,0.03,10.17,1.03
12353,0.02,10.13,0.83
12405,0.25,10.3,0.69
12457,0.19,10.12,0.49
12511,0.11,9.59,0.55
12563,-0.1,9.51,0.47
12615,0.19,10.34,0.94
12667,0.31,10.01,0.9
12720,-0.01,9.79,1.18
12772,-0.0,9.73,0.47
12825,0.37,10.14,0.92
12877,0.04,9.44,1.35
12930,0.53,9.45,0.49
12982,-0.54,10.06,3.37
13034,0.74,9.67,0.92
13087,0.36,9.94,1.06
13139,0.37,9.98,0.89
13192,0.25,9.98,1.12
13244,0.49,9.6,1.18
13296,0.54,10.15,1.35
13348,0.33,10.3,1.2
13402,0.27,9.57,0.34
13454,-0.16,9.6,1.33
13506,0.13,9.8,1.29
13558,0.27,9.75,1.29
13611,0.41,10.36,1.59
13663,0.15,9.38,0.9
13716,0.62,9.41,0.9
13768,0.62,9.97,1.17
13820,0.61,9.78,0.83
13873,0.68,9.57,1.09
13925,0.01,9.8,1.58
13977,0.46,9.63,1.25
14030,0.88,9.81,1.39
14083,0.94,10.45,1.82
14135,0.47,9.59,1.36
14187,1.33,10.54,1.99
14239,1.09,10.03,1.41
14292,0.34,9.8,1.25
14345,0.23,9.76,1.48
14397,0.56,9.46,1.42
14449,0.63,9.91,1.49
14501,0.51,9.93,1.5
14554,0.76,9.67,1.29
14607,1.02,10.12,1.68
14659,0.79,9.37,0.96
14711,0.71,9.96,1.26
14764,0.51,9.94,1.29
14816,-0.19,8.97,1.31
14869,1.02,9.59,1.17
14921,0.94,9.96,1.18
14973,0.55,9.71,1.45
15026,0.59,9.83,1.29
15078,0.41,9.76,1.33
15130,0.48,9.81,1.35
15183,0.82,9.81,1.25
15236,0.6,9.75,1.4
15288,0.37,9.38,1.45
15340,0.82,9.57,1.02
15392,0.91,9.76,1.25
15444,0.54,9.79,1.47
15498,0.39,9.62,1.28
15550,0.72,9.3,1.26
15602,0.95,9.72,1.66
15654,0.84,10.36,1.5
15707,0.9,9.31,1.25
15759,0.45,10.08,1.44
15812,0.39,10.49,1.67
15864,0.79,9.41,1.07
15917,0.51,9.86,1.44
15969,0.43,9.81,1.62
16021,0.82,9.7,1.66
16074,0.97,9.84,1.56
16126,0.83,10.23,1.31
16179,0.46,9.35,0.92
16231,0.67,9.85,1.49
16283,0.19,9.95,1.51
16335,0.41,10.47,1.68
16389,0.52,9.78,1.28
16441,0.43,9.7,1.42
16493,0.79,9.51,1.03
16545,0.26,9.68,1.24
16598,0.55,9.83,1.42
16650,0.62,8.9,1.06
16703,0.61,10.22,1.54
