time_ms,X,Y,Z
186414,-9.34,-0.09,0.29
186466,-9.36,-0.13,0.23
186519,-9.39,-0.13,0.46
186571,-9.36,-0.14,0.23
186624,-9.33,-0.11,0.24
186676,-9.35,-0.13,0.28
186729,-9.35,-0.14,0.44
186781,-9.29,-0.14,0.41
186833,-9.37,-0.1,0.37
186886,-9.39,-0.09,0.36
186938,-9.32,-0.01,0.3
186991,-9.36,-0.19,0.3
187043,-9.35,-0.13,0.32
187096,-9.37,-0.1,0.4
187148,-9.37,-0.09,0.39
187201,-9.32,-0.11,0.38
187253,-9.37,-0.17,0.35
187305,-9.36,-0.15,0.27
187358,-9.39,-0.1,0.33
187410,-9.32,-0.15,0.24
187463,-9.37,-0.11,0.27
187515,-9.4,-0.16,0.38
187568,-9.39,-0.12,0.27
187620,-9.36,-0.15,0.28
187673,-9.37,-0.08,0.32
187725,-9.38,-0.17,0.31
187778,-9.43,-0.13,0.37
187830,-9.39,-0.11,0.27
187882,-9.23,-0.03,0.25
187935,-9.32,-0.08,0.38
187987,-9.42,-0.17,0.15
188040,-9.35,-0.21,0.2
188092,-9.41,-0.11,0.42
188145,-9.39,-0.09,0.3
188197,-9.35,-0.15,0.39
188250,-9.42,-0.14,0.24
188302,-9.39,-0.14,0.33
188354,-9.32,-0.09,0.34
188407,-9.39,-0.19,0.27
188460,-9.33,-0.12,0.37
188512,-9.36,-0.14,0.36
188564,-9.35,-0.08,0.26
188617,-9.37,-0.12,0.35
188669,-9.36,-0.11,0.27
188722,-9.4,-0.11,0.35
188774,-9.39,-0.11,0.23
188826,-9.34,-0.17,0.22
188879,-9.37,-0.15,0.36
188932,-9.34,-0.13,0.39
188984,-9.34,-0.16,0.42
189036,-9.4,-0.11,0.24
189089,-9.38,-0.19,0.21
189142,-9.36,-0.08,0.3
189194,-9.34,-0.1,0.28
189246,-9.37,-0.14,0.4
189298,-9.35,-0.13,0.3
189351,-9.44,-0.15,0.32
189404,-9.34,-0.14,0.33
189456,-9.36,-0.14,0.25
189508,-9.42,-0.13,0.27
189560,-9.38,-0.14,0.36
189614,-9.34,-0.14,0.23
189666,-9.32,-0.16,0.32
189718,-9.38,-0.1,0.26
189770,-9.32,-0.14,0.27
189824,-9.41,-0.11,0.29
189876,-9.33,-0.12,0.22
189928,-9.34,-0.13,0.35
189980,-9.4,-0.11,0.24
190032,-9.39,-0.15,0.34
190086,-9.34,-0.12,0.22
190138,-9.36,-0.1,0.35
190190,-9.36,-0.11,0.31
190242,-9.37,-0.08,0.27
190296,-9.37,-0.11,0.35
190348,-9.37,-0.11,0.36
190400,-9.34,-0.12,0.41
190452,-9.3,-0.1,0.33
190504,-9.42,-0.15,0.29
190558,-9.39,-0.17,0.29
190610,-9.35,-0.1,0.33
190662,-9.39,-0.1,0.42
190714,-9.45,-0.16,0.29
190768,-9.3,-0.09,0.39
190820,-9.4,-0.17,0.35
190872,-9.39,-0.1,0.32
190924,-9.34,-0.1,0.32
190977,-9.37,-0.07,0.36
191030,-9.35,-0.18,0.34
191082,-9.33,-0.15,0.39
191134,-9.31,-0.12,0.29
191186,-9.31,-0.13,0.36
191240,-9.34,-0.16,0.33
191292,-9.35,-0.06,0.23
191344,-9.38,-0.1,0.23
191396,-9.34,-0.11,0.31
191449,-9.26,-0.13,0.21
191502,-9.37,-0.15,0.35
191554,-9.36,-0.12,0.17
191606,-9.35,-0.14,0.3
191659,-9.38,-0.14,0.27
191712,-9.33,-0.13,0.16
191764,-9.31,-0.14,0.26
191816,-9.39,-0.1,0.28
191868,-9.39,-0.18,0.36
191921,-9.36,-0.12,0.29
191974,-9.39,-0.09,0.38
192026,-9.34,-0.12,0.35
192078,-9.34,-0.13,0.27
192131,-9.4,-0.11,0.4
192184,-9.35,-0.12,0.32
192236,-9.33,-0.13,0.27
192288,-9.38,-0.1,0.35
192340,-9.34,-0.08,0.35
192393,-9.33,-0.19,0.24
192446,-9.44,-0.08,0.27
192498,-9.37,-0.15,0.34
192550,-9.34,-0.17,0.26
192603,-9.34,-0.18,0.23
192655,-9.34,-0.11,0.32
192708,-9.36,-0.09,0.29
192760,-9.36,-0.14,0.35
192813,-9.35,-0.15,0.23
192865,-9.38,-0.08,0.34
192918,-9.35,-0.06,0.32
192970,-9.42,-0.13,0.22
193022,-9.35,-0.18,0.4
193075,-9.44,-0.15,0.36
193127,-9.41,-0.13,0.28
193180,-9.3,-0.11,0.35
193232,-9.33,-0.06,0.35
193285,-9.41,-0.08,0.27
193337,-9.41,-0.13,0.28
193390,-9.46,-0.15,0.34
193442,-9.3,-0.15,0.24
193495,-9.35,-0.08,0.26
193547,-9.36,-0.1,0.31
193599,-9.44,-0.12,0.29
193652,-9.31,-0.12,0.42
193704,-9.35,-0.14,0.38
193757,-9.37,-0.1,0.27
193809,-9.39,-0.14,0.35
193862,-9.19,0.04,0.22
193914,-9.33,0.04,0.14
193967,-9.37,-0.11,0.29
194019,-9.41,-0.17,0.38
194071,-9.38,-0.16,0.36
194124,-9.41,-0.14,0.34
194177,-9.35,-0.15,0.37
194229,-9.35,-0.08,0.39
194281,-9.4,-0.06,0.32
194333,-9.34,-0.14,0.4
194386,-9.28,-0.08,0.31
194439,-9.34,-0.07,0.32
194491,-9.34,-0.11,0.33
194543,-9.41,-0.14,0.4
194596,-9.36,-0.14,0.26
194649,-9.39,-0.12,0.35
194701,-9.33,-0.11,0.22
194753,-9.35,-0.1,0.29
194805,-9.38,-0.11,0.43
194859,-9.36,-0.17,0.25
194911,-9.36,-0.1,0.37
194963,-9.32,-0.14,0.39
195015,-9.35,-0.08,0.27
195068,-9.31,-0.08,0.32
195121,-9.38,-0.18,0.29
195173,-9.33,-0.1,0.32
195225,-9.4,-0.13,0.33
195277,-9.32,-0.11,0.4
195331,-9.4,-0.13,0.28
195383,-9.38,-0.2,0.33
195435,-9.35,-0.14,0.29
195487,-9.36,-0.1,0.23
195539,-9.37,-0.17,0.29
195593,-9.35,-0.09,0.28
195645,-9.41,-0.12,0.21
195697,-9.35,-0.06,0.31
195749,-9.31,-0.1,0.27
195803,-9.41,-0.1,0.25
195855,-9.37,-0.13,0.29
195907,-9.42,-0.19,0.22
195959,-9.35,-0.18,0.33
196012,-9.28,-0.09,0.29
196065,-9.36,-0.15,0.28
196117,-9.32,-0.1,0.3
196169,-9.38,-0.08,0.29
196221,-9.36,-0.12,0.31
196275,-9.33,-0.13,0.27
196327,-9.3,-0.13,0.3
196379,-9.37,-0.14,0.34
196431,-9.39,-0.09,0.23
196484,-9.33,-0.13,0.3
196537,-9.33,-0.09,0.21
196589,-9.41,-0.09,0.34
196641,-9.42,-0.09,0.32
196694,-9.39,-0.15,0.22
196747,-9.34,-0.13,0.28
196799,-9.42,-0.11,0.34
196851,-9.35,-0.12,0.28
196903,-9.36,-0.09,0.17
196956,-9.35,-0.11,0.21
197009,-9.35,-0.12,0.39
197061,-9.36,-0.14,0.26
197113,-9.31,-0.1,0.23
197166,-9.33,-0.16,0.27
197218,-9.35,-0.14,0.23
197271,-9.33,-0.14,0.2
197323,-9.38,-0.09,0.3
197376,-9.4,-0.11,0.3
197428,-9.31,-0.14,0.13
197481,-9.38,-0.09,0.34
197533,-9.31,-0.11,0.29
197585,-9.31,-0.09,0.37
197638,-9.34,-0.12,0.28
197690,-9.33,-0.19,0.22
