time_ms,X,Y,Z
103391,0.43,9.8,-0.26
103444,0.38,9.82,-0.33
103496,0.4,9.84,-0.33
103548,0.45,9.81,-0.33
103601,0.42,9.85,-0.31
103654,0.42,9.8,-0.27
103706,0.42,9.81,-0.26
103758,0.34,9.86,-0.34
103811,0.48,9.87,-0.33
103863,0.36,9.89,-0.29
103916,0.44,9.83,-0.27
103968,0.44,9.84,-0.34
104020,0.43,9.84,-0.33
104073,0.49,9.8,-0.29
104125,0.36,9.87,-0.41
104178,0.38,9.85,-0.39
104230,0.4,9.75,-0.35
104283,0.43,9.78,-0.36
104335,0.36,9.83,-0.29
104388,0.42,9.87,-0.42
104440,0.44,9.82,-0.28
104493,0.35,9.83,-0.2
104545,0.46,9.85,-0.25
104597,0.4,9.89,-0.21
104650,0.38,9.85,-0.15
104702,0.4,9.8,-0.19
104755,0.4,9.8,-0.15
104807,0.38,9.81,-0.21
104859,0.38,9.81,-0.18
104912,0.41,9.84,-0.34
104965,0.38,9.75,-0.18
105017,0.43,9.82,-0.17
105069,0.38,9.82,-0.28
105122,0.39,9.8,-0.2
105175,0.41,9.81,-0.26
105227,0.41,9.76,-0.26
105279,0.41,9.84,-0.23
105331,0.39,9.81,-0.4
105384,0.42,9.82,-0.32
105437,0.4,9.9,-0.34
105489,0.38,9.77,-0.27
105541,0.37,9.84,-0.34
105593,0.4,9.84,-0.29
105647,0.38,9.86,-0.21
105699,0.37,9.82,-0.27
105751,0.37,9.77,-0.42
105803,0.38,9.78,-0.35
105856,0.38,9.84,-0.25
105909,0.4,9.81,-0.24
105961,0.42,9.83,-0.28
106013,0.38,9.78,-0.22
106065,0.38,9.77,-0.32
106119,0.45,9.82,-0.36
106171,0.37,9.84,-0.28
106223,0.39,9.81,-0.39
106275,0.35,9.85,-0.28
106328,0.4,9.8,-0.38
106381,0.41,9.75,-0.21
106433,0.41,9.82,-0.23
106485,0.45,9.81,-0.28
106537,0.38,9.83,-0.35
106590,0.39,9.91,-0.34
106643,0.35,9.82,-0.33
106695,0.37,9.79,-0.33
106747,0.4,9.82,-0.25
106800,0.38,9.78,-0.29
106853,0.39,9.81,-0.42
106905,0.42,9.78,-0.31
106957,0.44,9.81,-0.27
107010,0.39,9.82,-0.34
107062,0.38,9.87,-0.28
107115,0.35,9.8,-0.38
107167,0.39,9.82,-0.22
107219,0.41,9.8,-0.37
107272,0.43,9.82,-0.17
107324,0.44,9.86,-0.25
107377,0.41,9.81,-0.22
107429,0.36,9.8,-0.2
107482,0.5,9.82,-0.33
107534,0.35,9.79,-0.37
107587,0.34,9.84,-0.31
107639,0.33,9.81,-0.41
107692,0.42,9.84,-0.38
107744,0.36,9.81,-0.39
107796,0.43,9.75,-0.28
107849,0.37,9.81,-0.32
107901,0.43,9.75,-0.34
107954,0.47,9.77,-0.3
108006,0.38,9.83,-0.25
108058,0.43,9.82,-0.37
108111,0.39,9.81,-0.27
108164,0.42,9.82,-0.37
108216,0.41,9.81,-0.33
108268,0.37,9.76,-0.39
108321,0.4,9.75,-0.28
108374,0.48,9.79,-0.4
108426,0.34,9.8,-0.37
108478,0.34,9.83,-0.29
108530,0.39,9.78,-0.41
108583,0.45,9.8,-0.34
108636,0.39,9.84,-0.34
108688,0.37,9.8,-0.3
108740,0.43,9.81,-0.37
108792,0.31,9.8,-0.34
108846,0.4,9.85,-0.44
108898,0.39,9.78,-0.4
108950,0.4,9.76,-0.27
109002,0.44,9.83,-0.42
109056,0.4,9.79,-0.35
109108,0.46,9.79,-0.31
109160,0.37,9.78,-0.34
109212,0.4,9.88,-0.37
109264,0.36,9.86,-0.42
109318,0.38,9.87,-0.35
109370,0.46,9.83,-0.22
109422,0.47,9.82,-0.11
109474,0.35,9.77,-0.25
109527,0.42,9.83,-0.34
109580,0.35,9.81,-0.3
109632,0.42,9.84,-0.24
109684,0.41,9.77,-0.35
109736,0.44,9.82,-0.28
109789,0.4,9.81,-0.37
109842,0.43,9.79,-0.31
109894,0.4,9.81,-0.24
109946,0.39,9.82,-0.28
109999,0.35,9.83,-0.21
110052,0.43,9.88,-0.29
110104,0.47,9.82,-0.38
110156,0.41,9.84,-0.3
110209,0.36,9.76,-0.34
110261,0.44,9.82,-0.36
110314,0.44,9.84,-0.44
110366,0.4,9.79,-0.29
110418,0.43,9.83,-0.32
110471,0.45,9.84,-0.44
110523,0.38,9.78,-0.43
110576,0.45,9.75,-0.24
110628,0.36,9.8,-0.39
110681,0.41,9.87,-0.4
110733,0.38,9.85,-0.4
110786,0.4,9.83,-0.35
110838,0.38,9.77,-0.3
110891,0.43,9.84,-0.35
110943,0.43,9.86,-0.4
110995,0.37,9.82,-0.39
111048,0.4,9.77,-0.34
111100,0.37,9.76,-0.37
111153,0.42,9.8,-0.31
111205,0.4,9.81,-0.34
111257,0.35,9.87,-0.3
111310,0.47,9.79,-0.28
111363,0.4,9.83,-0.36
111415,0.39,9.81,-0.3
111467,0.49,9.82,-0.33
111520,0.4,9.83,-0.36
111572,0.44,9.82,-0.35
111625,0.39,9.84,-0.36
111677,0.42,9.76,-0.44
111729,0.4,9.84,-0.42
111782,0.4,9.83,-0.51
111835,0.37,9.85,-0.47
111887,0.45,9.81,-0.34
111939,0.4,9.75,-0.39
111991,0.43,9.82,-0.32
112045,0.42,9.82,-0.48
112097,0.37,9.86,-0.39
112149,0.48,9.78,-0.43
112201,0.41,9.87,-0.37
112254,0.46,9.81,-0.38
112307,0.36,9.83,-0.39
112359,0.42,9.8,-0.42
112411,0.42,9.86,-0.34
112463,0.35,9.83,-0.33
112517,0.42,9.84,-0.33
112569,0.38,9.78,-0.34
112621,0.38,9.81,-0.4
112673,0.39,9.87,-0.38
112726,0.4,9.8,-0.27
112779,0.4,9.83,-0.4
112831,0.42,9.79,-0.34
112883,0.36,9.81,-0.4
112935,0.47,9.76,-0.45
112988,0.42,9.9,-0.44
113041,0.43,9.82,-0.37
113093,0.4,9.87,-0.41
113145,0.4,9.81,-0.32
113198,0.41,9.8,-0.38
113251,0.37,9.79,-0.37
113303,0.39,9.74,-0.48
113355,0.44,9.81,-0.31
113408,0.43,9.76,-0.44
113460,0.39,9.76,-0.38
113513,0.4,9.79,-0.42
113565,0.4,9.79,-0.44
113617,0.46,9.82,-0.44
113670,0.4,9.76,-0.35
113722,0.36,9.78,-0.39
113775,0.41,9.8,-0.36
113827,0.37,9.79,-0.4
113880,0.39,9.81,-0.43
113932,0.39,9.8,-0.28
113984,0.41,9.87,-0.35
114037,0.41,9.75,-0.37
114089,0.36,9.78,-0.33
114142,0.39,9.82,-0.44
114194,0.38,9.73,-0.43
114247,0.4,9.82,-0.31
114299,0.39,9.77,-0.46
114352,0.39,9.79,-0.43
114404,0.38,9.77,-0.46
114456,0.44,9.84,-0.4
114509,0.41,9.83,-0.34
114562,0.4,9.83,-0.37
