time_ms,X,Y,Z
51432,-0.38,-0.01,10.78
51485,-0.39,0.02,10.77
51537,-0.32,0.01,10.65
51590,-0.39,0.01,10.78
51642,-0.39,0.05,10.87
51694,-0.39,0.0,10.69
51747,-0.39,-0.01,10.67
51800,-0.38,0.04,10.69
51852,-0.34,0.03,10.77
51904,-0.4,0.04,10.72
51956,-0.37,0.05,10.8
52009,-0.4,-0.0,10.85
52062,-0.36,-0.07,10.71
52114,-0.36,0.03,10.78
52166,-0.41,0.03,10.7
52218,-0.37,-0.02,10.74
52272,-0.43,0.0,10.64
52324,-0.34,0.0,10.71
52376,-0.4,-0.02,10.79
52428,-0.39,0.0,10.69
52481,-0.32,0.04,10.72
52534,-0.41,0.0,10.65
52586,-0.35,0.05,10.78
52638,-0.43,-0.01,10.75
52690,-0.4,-0.01,10.73
52743,-0.37,0.03,10.71
52796,-0.35,-0.02,10.62
52848,-0.35,-0.0,10.76
52900,-0.35,0.07,10.8
52953,-0.37,0.01,10.72
53005,-0.37,0.0,10.65
53058,-0.37,0.01,10.77
53110,-0.4,0.01,10.75
53163,-0.37,0.02,10.78
53215,-0.38,-0.0,10.8
53267,-0.39,0.02,10.75
53320,-0.4,0.02,10.81
53372,-0.34,0.03,10.78
53425,-0.4,-0.04,10.64
53477,-0.37,-0.0,10.72
53530,-0.36,0.02,10.79
53582,-0.37,-0.06,10.76
53635,-0.42,-0.02,10.74
53687,-0.37,0.01,10.65
53739,-0.36,0.01,10.71
53792,-0.34,0.03,10.75
53844,-0.42,0.04,10.8
53897,-0.41,0.03,10.75
53949,-0.4,0.01,10.71
54001,-0.35,-0.03,10.78
54054,-0.37,-0.0,10.79
54107,-0.34,0.02,10.7
54159,-0.4,0.01,10.67
54211,-0.39,-0.05,10.73
54263,-0.37,0.02,10.74
54317,-0.42,-0.03,10.73
54369,-0.3,0.0,10.7
54421,-0.38,-0.01,10.77
54473,-0.36,-0.0,10.78
54525,-0.38,0.06,10.68
54579,-0.37,0.04,10.77
54631,-0.37,0.06,10.78
54683,-0.33,0.05,10.85
54735,-0.43,0.01,10.7
54788,-0.29,-0.0,10.69
54841,-0.32,-0.01,10.66
54893,-0.4,0.02,10.72
54945,-0.39,-0.0,10.74
54998,-0.36,0.02,10.74
55050,-0.39,0.0,10.85
55103,-0.35,-0.01,10.8
55155,-0.35,0.04,10.71
55207,-0.41,0.04,10.65
55260,-0.33,0.0,10.68
55312,-0.39,-0.04,10.73
55365,-0.37,0.05,10.66
55417,-0.43,-0.07,10.74
55470,-0.38,-0.03,10.69
55522,-0.38,0.04,10.77
55575,-0.41,0.04,10.69
55627,-0.4,0.02,10.84
55680,-0.35,0.02,10.75
55732,-0.39,-0.01,10.78
55784,-0.36,0.02,10.77
55837,-0.41,0.07,10.72
55889,-0.38,-0.02,10.77
55942,-0.44,-0.05,10.7
55994,-0.39,0.03,10.72
56046,-0.36,0.0,10.67
56099,-0.4,0.02,10.78
56152,-0.36,-0.0,10.77
56204,-0.35,0.03,10.75
56256,-0.34,0.04,10.76
56308,-0.42,0.05,10.72
56361,-0.38,0.09,10.69
56414,-0.39,-0.06,10.72
56466,-0.34,-0.0,10.69
56518,-0.33,0.03,10.74
56570,-0.43,0.01,10.69
56624,-0.34,0.03,10.83
56676,-0.37,0.04,10.75
56728,-0.32,0.04,10.74
56780,-0.37,0.07,10.71
56833,-0.42,0.03,10.71
56886,-0.37,0.06,10.65
56938,-0.36,0.01,10.63
56990,-0.35,0.08,10.76
57042,-0.38,-0.04,10.72
57096,-0.35,0.07,10.76
57148,-0.41,-0.03,10.66
57200,-0.39,0.02,10.71
57252,-0.39,-0.03,10.7
57305,-0.41,0.02,10.79
57358,-0.36,-0.01,10.68
57410,-0.34,-0.01,10.75
57462,-0.37,0.04,10.67
57515,-0.39,0.01,10.71
57567,-0.39,0.01,10.77
57620,-0.38,-0.06,10.81
57672,-0.34,-0.04,10.83
57724,-0.42,0.06,10.73
57777,-0.33,0.03,10.79
57829,-0.31,-0.06,10.7
57882,-0.46,-0.02,10.8
57934,-0.34,0.02,10.7
57987,-0.4,0.02,10.79
58039,-0.39,-0.03,10.71
58091,-0.35,-0.0,10.69
58144,-0.38,0.04,10.73
58196,-0.34,0.0,10.6
58249,-0.33,0.01,10.73
58301,-0.39,0.0,10.78
58353,-0.34,-0.02,10.67
58406,-0.4,-0.02,10.79
58459,-0.36,0.06,10.72
58511,-0.37,-0.05,10.77
58563,-0.43,-0.0,10.75
58615,-0.33,0.06,10.7
58669,-0.39,-0.01,10.78
58721,-0.37,-0.04,10.71
58773,-0.36,0.04,10.65
58825,-0.38,0.04,10.67
58878,-0.39,0.04,10.66
58931,-0.34,0.04,10.77
58983,-0.36,0.03,10.73
59035,-0.33,-0.01,10.66
59087,-0.39,-0.05,10.75
59141,-0.33,0.04,10.76
59193,-0.38,-0.02,10.84
59245,-0.37,0.0,10.77
59297,-0.36,0.06,10.69
59350,-0.37,-0.0,10.74
59403,-0.4,0.02,10.73
59455,-0.4,-0.04,10.81
59507,-0.29,0.02,10.84
59559,-0.39,-0.04,10.72
59612,-0.4,0.01,10.7
59665,-0.37,0.02,10.79
59717,-0.33,0.06,10.67
59769,-0.21,0.0,10.7
59822,-0.44,-0.04,10.72
59874,-0.38,0.0,10.6
59927,-0.46,-0.02,10.7
59979,-0.38,0.01,10.69
60032,-0.4,-0.0,10.71
60084,-0.38,0.03,10.74
60136,-0.4,-0.02,10.75
60189,-0.35,0.04,10.76
60241,-0.38,0.0,10.66
60294,-0.42,-0.04,10.78
60346,-0.38,0.0,10.72
60398,-0.39,0.04,10.88
60451,-0.34,0.06,10.73
60504,-0.44,-0.03,10.62
60556,-0.37,0.05,10.77
60608,-0.37,0.06,10.69
60660,-0.29,0.0,10.69
60713,-0.35,0.02,10.82
60766,-0.4,-0.04,10.79
60818,-0.37,-0.01,10.77
60870,-0.31,-0.02,10.74
60922,-0.46,0.01,10.7
60976,-0.34,-0.03,10.68
61028,-0.35,-0.01,10.63
61080,-0.33,0.03,10.77
61132,-0.34,0.02,10.76
61186,-0.39,-0.0,10.8
61238,-0.34,0.07,10.71
61290,-0.4,0.02,10.82
61342,-0.36,0.02,10.7
61394,-0.39,-0.01,10.78
61448,-0.41,0.02,10.73
61500,-0.33,0.02,10.75
61552,-0.36,0.01,10.7
61604,-0.34,-0.0,10.78
61657,-0.4,-0.01,10.72
61710,-0.39,0.05,10.73
61762,-0.35,0.03,10.75
61814,-0.43,-0.02,10.77
61867,-0.32,0.02,10.72
61919,-0.38,0.01,10.62
61972,-0.41,0.03,10.75
62024,-0.33,0.03,10.85
62076,-0.41,-0.01,10.83
62129,-0.39,0.02,10.8
62181,-0.39,-0.01,10.78
62234,-0.31,0.01,10.71
62286,-0.39,-0.01,10.77
62339,-0.41,0.01,10.73
62391,-0.37,0.07,10.75
62443,-0.31,-0.04,10.74
62496,-0.35,0.01,10.75
62548,-0.41,0.0,10.76
62601,-0.38,0.01,10.72
62653,-0.4,-0.03,10.72
62705,-0.36,0.01,10.69
62758,-0.38,0.0,10.68
62811,-0.35,0.05,10.66
62863,-0.34,-0.0,10.7
62915,-0.41,-0.01,10.74
62967,-0.4,0.02,10.7
63021,-0.3,0.02,10.71
63073,-0.32,-0.02,10.73
63125,-0.35,-0.03,10.72
63177,-0.35,0.02,10.73
63230,-0.39,0.02,10.7
63283,-0.42,0.03,10.76
63335,-0.35,-0.02,10.74
63387,-0.36,-0.02,10.65
63439,-0.37,0.01,10.78
63493,-0.36,-0.0,10.74
63545,-0.4,0.01,10.78
63597,-0.37,-0.0,10.73
63649,-0.39,0.03,10.75
63702,-0.35,-0.02,10.75
63755,-0.36,0.06,10.73
63807,-0.38,-0.01,10.72
63859,-0.36,-0.0,10.77
63911,-0.41,-0.01,10.72
63964,-0.39,0.02,10.7
64017,-0.34,-0.02,10.72
64069,-0.33,0.02,10.73
64121,-0.42,0.0,10.74
64174,-0.39,0.06,10.75
64226,-0.32,0.02,10.78
64279,-0.4,-0.04,10.82
64331,-0.38,0.0,10.76
64384,-0.4,0.07,10.82
64436,-0.38,0.01,10.77
