time_ms,X,Y,Z
242639,0.19,-0.12,-9.57
242693,0.18,-0.11,-9.44
242745,0.3,-0.1,-9.6
242797,0.16,-0.11,-9.47
242849,0.22,-0.07,-9.52
242902,0.22,-0.14,-9.38
242955,0.17,-0.15,-9.52
243007,0.14,-0.13,-9.43
243059,0.19,-0.11,-9.5
243111,0.09,-0.11,-9.49
243165,0.13,-0.16,-9.51
243217,0.25,-0.11,-9.49
243269,0.15,-0.1,-9.47
243321,0.17,-0.17,-9.53
243374,0.18,-0.14,-9.33
243427,0.12,-0.18,-9.59
243479,0.12,-0.14,-9.57
243531,0.1,-0.1,-9.47
243584,0.11,-0.16,-9.52
243637,0.02,-0.15,-9.47
243689,0.06,-0.16,-9.5
243741,0.07,-0.13,-9.53
243793,0.1,-0.14,-9.49
243846,-0.02,-0.15,-9.57
243899,0.12,-0.2,-9.53
243951,0.04,-0.12,-9.47
244003,0.06,-0.1,-9.52
244056,0.04,-0.09,-9.34
244108,0.05,-0.17,-9.49
244161,0.0,-0.13,-9.49
244213,0.12,-0.06,-9.48
244265,0.05,-0.07,-9.46
244318,0.01,-0.15,-9.42
244370,0.07,-0.12,-9.48
244423,0.04,-0.13,-9.53
244475,0.06,-0.14,-9.52
244528,0.03,-0.12,-9.45
244580,0.02,-0.13,-9.47
244633,-0.02,-0.15,-9.64
244685,0.08,-0.09,-9.52
244738,0.01,-0.18,-9.55
244790,0.02,-0.13,-9.52
244842,0.01,-0.15,-9.46
244895,0.01,-0.2,-9.39
244947,-0.03,-0.16,-9.41
245000,0.04,-0.17,-9.51
245052,0.02,-0.15,-9.41
245104,0.01,-0.13,-9.4
245157,-0.04,-0.09,-9.45
245210,-0.04,-0.13,-9.54
245262,-0.1,-0.13,-9.53
245314,-0.03,-0.13,-9.55
245366,-0.1,-0.19,-9.63
245420,-0.14,-0.11,-9.52
245472,-0.22,-0.19,-9.4
245524,-0.13,-0.11,-9.43
245576,-0.12,-0.12,-9.4
245629,-0.03,-0.11,-9.43
245682,-0.2,-0.21,-9.45
245734,-0.11,-0.2,-9.49
245786,-0.13,-0.12,-9.44
245838,-0.11,-0.16,-9.48
245892,-0.15,-0.16,-9.56
245944,-0.13,-0.2,-9.47
245996,-0.15,-0.16,-9.43
246048,-0.16,-0.16,-9.41
246102,-0.15,-0.2,-9.47
246154,-0.15,-0.11,-9.47
246206,-0.15,-0.13,-9.44
246258,-0.2,-0.17,-9.57
246311,-0.19,-0.08,-9.35
246364,-0.3,-0.1,-9.44
246416,-0.19,-0.22,-9.46
246468,-0.17,-0.17,-9.53
246520,-0.18,-0.13,-9.49
246574,-0.19,-0.09,-9.57
246626,-0.19,-0.15,-9.51
246678,-0.21,-0.11,-9.41
246730,-0.22,-0.16,-9.47
246784,-0.28,-0.17,-9.47
246836,-0.29,-0.15,-9.54
246888,-0.26,-0.2,-9.46
246940,-0.28,-0.16,-9.41
246992,-0.24,-0.19,-9.45
247046,-0.33,-0.11,-9.5
247098,-0.34,-0.07,-9.39
247150,-0.36,-0.18,-9.39
247202,-0.37,-0.16,-9.44
247256,-0.37,-0.17,-9.48
247308,-0.34,-0.12,-9.42
247360,-0.42,-0.12,-9.41
247412,-0.36,-0.16,-9.54
247464,-0.31,-0.16,-9.45
247518,-0.35,-0.2,-9.51
247570,-0.32,-0.1,-9.94
247622,-0.48,-0.17,-9.46
247674,-0.42,-0.17,-9.5
247728,-0.48,-0.11,-9.44
247780,-0.48,-0.12,-9.5
247832,-0.55,-0.19,-9.38
247884,-0.42,-0.13,-9.51
247937,-0.46,-0.15,-9.48
247990,-0.52,-0.2,-9.43
248042,-0.41,-0.17,-9.46
248094,-0.62,-0.23,-9.51
248146,-0.47,-0.19,-9.46
248200,-0.51,-0.13,-9.43
248252,-0.53,-0.18,-9.43
248304,-0.49,-0.15,-9.42
248356,-0.54,-0.19,-9.46
248409,-0.39,-0.19,-9.5
248462,-0.35,-0.15,-9.21
248514,-0.6,-0.33,-9.53
248566,-0.39,-0.23,-9.52
248619,-0.44,-0.07,-9.46
248672,-0.47,-0.12,-9.41
248724,-0.41,-0.14,-9.48
248776,-0.47,-0.11,-9.44
248828,-0.4,-0.12,-9.43
248882,-0.4,-0.19,-9.46
248934,-0.4,-0.18,-9.5
248986,-0.4,-0.18,-9.43
249038,-0.45,-0.12,-9.49
249091,-0.38,-0.17,-9.52
249144,-0.47,-0.15,-9.52
249196,-0.39,-0.15,-9.45
249248,-0.38,-0.18,-9.49
249300,-0.51,-0.17,-9.44
249354,-0.43,-0.12,-9.5
249406,-0.45,-0.18,-9.42
249458,-0.49,-0.13,-9.46
249510,-0.45,-0.15,-9.47
249563,-0.51,-0.17,-9.48
249616,-0.43,-0.2,-9.42
249668,-0.38,-0.15,-9.43
249720,-0.44,-0.18,-9.51
249773,-0.37,-0.16,-9.34
249826,-0.34,-0.16,-9.48
249878,-0.36,-0.11,-9.4
249930,-0.43,-0.21,-9.55
249982,-0.41,-0.17,-9.4
250035,-0.39,-0.17,-9.35
250088,-0.42,-0.13,-9.44
250140,-0.5,-0.13,-9.4
250192,-0.41,-0.2,-9.42
250245,-0.48,-0.19,-9.51
250298,-0.51,-0.13,-9.41
250350,-0.45,-0.19,-9.48
250402,-0.44,-0.17,-9.37
250455,-0.5,-0.19,-9.38
250507,-0.53,-0.18,-9.39
250560,-0.56,-0.18,-9.44
250612,-0.47,-0.17,-9.4
250664,-0.46,-0.13,-9.33
250717,-0.48,-0.14,-9.48
250770,-0.51,-0.19,-9.46
250822,-0.48,-0.17,-9.46
250874,-0.52,-0.17,-9.47
250927,-0.5,-0.17,-9.48
250980,-0.52,-0.19,-9.51
251032,-0.54,-0.18,-9.35
251084,-0.52,-0.17,-9.41
251137,-0.57,-0.17,-9.42
251189,-0.52,-0.18,-9.44
251242,-0.51,-0.21,-9.36
251294,-0.54,-0.17,-9.42
251346,-0.54,-0.18,-9.39
251399,-0.57,-0.18,-9.5
251452,-0.59,-0.13,-9.51
251504,-0.55,-0.17,-9.45
251556,-0.51,-0.2,-9.54
251609,-0.58,-0.19,-9.39
251662,-0.57,-0.22,-9.44
251714,-0.62,-0.18,-9.45
251766,-0.54,-0.13,-9.46
251819,-0.56,-0.14,-9.53
251871,-0.6,-0.17,-9.4
251924,-0.57,-0.17,-9.45
251976,-0.64,-0.09,-9.4
252028,-0.63,-0.18,-9.56
252081,-0.56,-0.16,-9.49
252134,-0.62,-0.18,-9.36
252186,-0.58,-0.22,-9.39
252238,-0.62,-0.14,-9.42
252291,-0.65,-0.18,-9.39
252343,-0.63,-0.22,-9.46
252396,-0.64,-0.14,-9.47
252448,-0.6,-0.16,-9.39
252500,-0.7,-0.12,-9.36
252553,-0.62,-0.2,-9.44
252606,-0.63,-0.17,-9.45
252658,-0.65,-0.18,-9.37
252710,-0.64,-0.16,-9.43
252763,-0.7,-0.19,-9.36
252815,-0.64,-0.18,-9.42
252868,-0.64,-0.21,-9.47
252920,-0.71,-0.18,-9.33
252973,-0.6,-0.17,-9.38
253025,-0.64,-0.19,-9.41
253078,-0.68,-0.11,-9.51
253130,-0.68,-0.17,-9.36
253182,-0.66,-0.21,-9.5
253235,-0.68,-0.18,-9.41
253288,-0.73,-0.16,-9.52
253340,-0.66,-0.2,-9.43
253392,-0.81,-0.1,-9.19
253445,-0.75,-0.17,-9.44
253497,-0.75,-0.21,-9.46
253550,-0.7,-0.21,-9.34
253602,-0.72,-0.2,-9.41
253655,-0.75,-0.2,-9.37
253707,-0.71,-0.21,-9.41
253760,-0.68,-0.19,-9.42
253812,-0.72,-0.2,-9.38
253864,-0.66,-0.19,-9.39
253917,-0.64,-0.16,-9.44
253969,-0.63,-0.2,-9.39
254022,-0.6,-0.19,-9.3
254074,-0.68,-0.14,-9.38
254127,-0.64,-0.18,-9.36
254179,-0.66,-0.16,-9.43
254232,-0.63,-0.19,-9.41
254284,-0.65,-0.23,-9.41
254337,-0.57,-0.16,-9.43
254389,-0.62,-0.19,-9.47
254441,-0.67,-0.21,-9.37
254494,-0.64,-0.15,-9.43
254546,-0.68,-0.22,-9.44
254599,-0.65,-0.15,-9.47
254651,-0.67,-0.17,-9.42
254704,-0.68,-0.17,-9.39
254756,-0.73,-0.3,-9.44
254809,-0.71,-0.18,-9.48
254861,-0.7,-0.2,-9.48
254914,-0.69,-0.19,-9.37
254966,-0.72,-0.15,-9.45
255019,-0.65,-0.17,-9.42
255071,-0.74,-0.18,-9.5
255123,-0.7,-0.16,-9.35
255176,-0.7,-0.19,-9.43
255228,-0.68,-0.26,-9.39
255281,-0.71,-0.16,-9.42
255333,-0.73,-0.17,-9.45
255386,-0.69,-0.21,-9.46
255438,-0.66,-0.17,-9.5
255491,-0.73,-0.2,-9.4
255543,-0.7,-0.19,-9.53
255595,-0.76,-0.22,-9.41
255648,-0.69,-0.18,-9.41
255700,-0.74,-0.26,-9.41
255753,-0.7,-0.16,-9.49
255805,-0.65,-0.18,-9.44
255858,-0.65,-0.18,-9.44
255910,-0.71,-0.15,-9.45
255963,-0.63,-0.19,-9.47
256015,-0.64,-0.19,-9.49
256068,-0.66,-0.18,-9.28
256120,-0.73,-0.17,-9.38
256173,-0.67,-0.16,-9.41
256225,-0.7,-0.23,-9.37
256277,-0.72,-0.21,-9.51
256330,-0.68,-0.18,-9.4
256382,-0.69,-0.21,-9.35
256435,-0.69,-0.18,-9.46
256487,-0.69,-0.2,-9.46
256540,-0.69,-0.23,-9.4
256592,-0.67,-0.25,-9.39
256645,-0.7,-0.23,-9.39
256697,-0.64,-0.15,-9.42
256749,-0.66,-0.19,-9.34
256802,-0.64,-0.22,-9.42
256855,-0.65,-0.24,-9.38
256907,-0.64,-0.18,-9.43
256959,-0.7,-0.22,-9.54
257012,-0.68,-0.2,-9.44
257064,-0.67,-0.21,-9.39
